Timestamp,"1. Age
Example: 23 [Restricted to 19ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½","  2. Gender
Example: Male  ","3. Study_Hours (per day) 
Example: 3","4. Class_Attendance (%) 
Example: 85 ","5. Tuition (Private Coaching) 
Example: Yes","6. Exam_Frequency (per semester) 
Example: 4",7. Assignment_Load (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"8. Sleep_Hours (per day) 
Example: 6","9. Physical_Exercise (hours per week) 
Example: 2 ","10. Social_Media_Use (hours per day) 
Example: 3","11. Screen_Time (hours per day) 
Example: 6 ","12. Family_Income_Level 
Example: Middle",13. Peer_Pressure (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,14. Family_Support (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15. Anxiety_Level (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"16. University_Type 
Example: Public University",17. Stress_Score (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,"18. Stress_Level 
Example: Moderate"
2025/11/11 12:57:03 AM GMT+6,22,Female,1,81,No,2,9,9,No,0,7,Low,2,9,3,Public University,3,Low
2025/11/11 01:33:32 AM GMT+6,22,Female,8,64,Yes,3,3,4,Yes,5,3,High,4,9,7,National University,6,Low
2025/11/11 02:10:01 AM GMT+6,24,Female,5,95,No,8,8,4,Yes,7,3,Medium,8,6,4,Private University,18,Medium
2025/11/11 02:46:29 AM GMT+6,21,Female,5,42,No,1,1,8,No,0,5,High,1,1,9,Public University,7,Low
2025/11/11 03:22:58 AM GMT+6,21,Female,5,82,No,9,7,9,Yes,3,7,Low,2,8,4,Private University,11,Medium
2025/11/11 03:59:27 AM GMT+6,19,Female,2,76,Yes,2,6,6,Yes,2,5,Low,3,4,7,Public University,10,Low
2025/11/11 04:35:56 AM GMT+6,20,Male,4,61,No,5,5,8,Yes,4,7,High,9,6,3,National University,8,Low
2025/11/11 05:12:25 AM GMT+6,24,Male,6,97,No,3,3,5,No,6,2,Low,7,4,7,Public University,12,Medium
2025/11/11 05:48:53 AM GMT+6,20,Female,3,40,Yes,3,8,8,Yes,0,10,Medium,4,1,2,Public University,12,Medium
2025/11/11 06:25:22 AM GMT+6,19,Male,8,51,No,7,5,5,Yes,4,9,High,1,3,1,National University,16,Medium
2025/11/11 07:01:51 AM GMT+6,19,Female,4,81,No,2,7,5,No,3,10,High,8,8,7,Private University,16,Medium
2025/11/11 07:38:20 AM GMT+6,21,Female,5,55,No,6,4,9,No,5,2,Medium,6,7,5,Public University,6,Low
2025/11/11 08:14:48 AM GMT+6,24,Male,0,46,Yes,5,4,9,Yes,1,1,Low,9,1,3,Public University,2,Low
2025/11/11 08:51:17 AM GMT+6,23,Male,1,73,No,4,8,4,Yes,3,1,Medium,5,3,2,Public University,9,Low
2025/11/11 09:27:46 AM GMT+6,21,Female,8,45,No,7,8,8,Yes,7,4,Low,8,2,1,Private University,15,Medium
2025/11/11 10:04:15 AM GMT+6,23,Male,9,44,No,9,2,9,Yes,0,7,Medium,5,4,7,National University,10,Low
2025/11/11 10:40:44 AM GMT+6,22,Male,8,56,No,4,4,7,Yes,7,5,Low,3,7,4,National University,8,Low
2025/11/11 11:17:12 AM GMT+6,21,Male,1,73,Yes,4,2,4,Yes,4,4,Low,7,5,4,National University,7,Low
2025/11/11 11:53:41 AM GMT+6,24,Male,3,85,No,1,4,6,No,7,5,Medium,6,6,5,Public University,10,Low
2025/11/11 12:30:10 PM GMT+6,20,Female,8,75,No,5,3,6,No,1,6,Medium,9,3,9,Public University,15,Medium
2025/11/11 01:06:39 PM GMT+6,22,Male,8,98,No,7,6,4,No,0,4,High,2,6,5,Public University,12,Medium
2025/11/11 01:43:07 PM GMT+6,24,Male,8,41,No,2,8,7,Yes,7,1,Low,9,3,3,Public University,9,Low
2025/11/11 02:19:36 PM GMT+6,20,Male,0,81,Yes,5,6,7,Yes,7,11,Medium,7,5,4,Private University,19,Medium
2025/11/11 02:56:05 PM GMT+6,21,Female,0,60,No,3,6,4,No,0,11,Medium,6,7,3,Private University,12,Medium
2025/11/11 03:32:34 PM GMT+6,22,Male,4,77,No,8,1,4,Yes,0,2,Medium,1,3,9,Private University,11,Medium
2025/11/11 04:09:03 PM GMT+6,23,Female,8,61,Yes,9,9,8,No,0,4,Medium,2,7,1,National University,8,Low
2025/11/11 04:45:31 PM GMT+6,22,Female,1,50,Yes,6,8,9,No,2,2,Medium,4,7,1,Private University,3,Low
2025/11/11 05:22:00 PM GMT+6,21,Male,3,97,No,6,5,6,Yes,3,10,Medium,4,3,9,Public University,22,High
2025/11/11 05:58:29 PM GMT+6,24,Male,1,93,Yes,7,9,6,Yes,0,10,Low,8,8,7,National University,17,Medium
2025/11/11 06:34:58 PM GMT+6,20,Female,8,52,Yes,2,1,5,No,1,6,High,3,7,5,Public University,3,Low
2025/11/11 07:11:27 PM GMT+6,22,Male,1,76,No,7,9,5,No,0,9,Low,2,7,3,National University,16,Medium
2025/11/11 07:47:55 PM GMT+6,20,Female,9,82,Yes,6,7,7,No,1,2,Medium,9,7,4,Private University,6,Low
2025/11/11 08:24:24 PM GMT+6,22,Female,2,92,Yes,4,6,5,Yes,4,11,Low,4,2,4,Private University,20,Medium
2025/11/11 09:00:53 PM GMT+6,24,Male,2,53,No,4,7,6,No,7,9,High,6,1,1,Public University,21,High
2025/11/11 09:37:22 PM GMT+6,24,Female,6,82,Yes,8,5,4,No,1,4,High,4,3,5,National University,16,Medium
2025/11/11 10:13:50 PM GMT+6,20,Female,4,64,Yes,7,7,9,No,3,11,Low,2,4,5,National University,20,Medium
2025/11/11 10:50:19 PM GMT+6,20,Male,7,87,Yes,7,8,4,Yes,2,3,Medium,3,4,1,Private University,11,Medium
2025/11/11 11:26:48 PM GMT+6,19,Female,8,55,Yes,1,7,6,No,4,5,Medium,1,3,9,Private University,17,Medium
2025/11/12 12:03:17 AM GMT+6,22,Male,4,62,Yes,7,7,5,No,5,8,High,7,6,4,Public University,20,Medium
2025/11/12 12:39:46 AM GMT+6,24,Male,4,40,Yes,9,5,6,Yes,1,2,Low,1,4,5,Public University,10,Low
2025/11/12 01:16:14 AM GMT+6,20,Female,2,99,No,9,3,5,No,7,8,Medium,2,9,4,National University,17,Medium
2025/11/12 01:52:43 AM GMT+6,19,Male,4,88,No,7,9,6,Yes,2,5,Low,3,1,5,Public University,19,Medium
2025/11/12 02:29:12 AM GMT+6,22,Male,1,94,No,8,7,5,No,5,3,Medium,5,9,6,Public University,15,Medium
2025/11/12 03:05:41 AM GMT+6,19,Male,4,47,No,8,8,9,Yes,5,1,Low,3,8,4,Public University,7,Low
2025/11/12 03:42:09 AM GMT+6,23,Female,7,95,Yes,9,8,6,No,6,9,Low,9,1,6,Private University,31,High
2025/11/12 04:18:38 AM GMT+6,19,Male,7,63,Yes,9,2,5,No,7,1,Low,7,5,6,National University,15,Medium
2025/11/12 04:55:07 AM GMT+6,19,Male,7,50,Yes,5,3,7,Yes,4,8,Medium,3,2,7,Public University,16,Medium
2025/11/12 05:31:36 AM GMT+6,21,Female,0,46,Yes,5,4,4,Yes,3,1,High,5,7,5,Private University,5,Low
2025/11/12 06:08:05 AM GMT+6,24,Female,0,60,Yes,5,9,4,No,3,6,High,7,1,4,National University,22,High
2025/11/12 06:44:33 AM GMT+6,22,Male,9,92,No,8,9,6,Yes,7,10,Low,6,9,5,Public University,22,High
2025/11/12 07:21:02 AM GMT+6,24,Female,2,92,Yes,9,8,4,Yes,4,10,Medium,8,9,7,Private University,23,High
2025/11/12 07:57:31 AM GMT+6,23,Female,8,84,No,5,7,5,Yes,2,7,Medium,6,8,8,National University,14,Medium
2025/11/12 08:34:00 AM GMT+6,19,Female,9,65,Yes,8,7,7,No,2,1,Medium,6,9,2,National University,4,Low
2025/11/12 09:10:28 AM GMT+6,20,Female,7,54,No,4,3,8,No,2,7,High,9,7,8,National University,9,Low
2025/11/12 09:46:57 AM GMT+6,22,Male,8,68,Yes,8,3,9,No,2,1,Low,6,5,8,Private University,8,Low
2025/11/12 10:23:26 AM GMT+6,24,Female,4,96,Yes,8,7,4,Yes,7,9,Medium,5,5,3,National University,23,High
2025/11/12 10:59:55 AM GMT+6,19,Male,0,92,Yes,5,9,9,No,6,7,High,7,6,5,National University,17,Medium
2025/11/12 11:36:24 AM GMT+6,23,Female,2,76,Yes,1,6,9,No,3,8,Low,9,8,9,Public University,10,Low
2025/11/12 12:12:52 PM GMT+6,20,Male,9,62,Yes,7,4,4,Yes,2,9,High,9,5,8,Public University,19,Medium
2025/11/12 12:49:21 PM GMT+6,21,Female,3,54,No,7,6,6,No,2,11,Low,3,6,3,National University,17,Medium
2025/11/12 01:25:50 PM GMT+6,21,Female,1,70,Yes,9,4,7,No,5,10,Medium,5,3,5,National University,23,High
2025/11/12 02:02:19 PM GMT+6,24,Female,6,51,No,1,8,5,No,4,6,Low,2,1,7,National University,20,Medium
2025/11/12 02:38:47 PM GMT+6,22,Male,4,46,No,5,2,7,Yes,7,1,Medium,8,4,7,Public University,9,Low
2025/11/12 03:15:16 PM GMT+6,23,Female,3,91,Yes,1,8,4,No,3,6,Medium,2,4,8,Public University,18,Medium
2025/11/12 03:51:45 PM GMT+6,19,Male,6,85,No,4,7,7,Yes,3,9,High,9,9,6,Private University,11,Medium
2025/11/12 04:28:14 PM GMT+6,20,Male,0,53,Yes,8,4,8,Yes,6,8,High,5,5,9,Public University,20,Medium
2025/11/12 05:04:43 PM GMT+6,24,Female,6,82,Yes,5,8,7,Yes,2,10,High,1,2,4,Private University,18,Medium
2025/11/12 05:41:11 PM GMT+6,20,Male,8,59,No,1,6,4,Yes,2,3,High,4,4,4,National University,6,Low
2025/11/12 06:17:40 PM GMT+6,24,Female,0,74,Yes,1,6,8,No,4,3,Low,4,2,3,National University,7,Low
2025/11/12 06:54:09 PM GMT+6,19,Female,6,61,No,1,2,6,No,3,11,Medium,7,3,6,National University,14,Medium
2025/11/12 07:30:38 PM GMT+6,20,Male,3,40,Yes,5,1,6,No,2,7,Medium,2,9,3,Private University,3,Low
2025/11/12 08:07:06 PM GMT+6,24,Male,6,83,Yes,6,7,5,No,7,1,Low,9,2,4,Private University,18,Medium
2025/11/12 08:43:35 PM GMT+6,23,Male,6,69,No,7,5,4,No,7,10,Medium,4,9,6,Public University,22,High
2025/11/12 09:20:04 PM GMT+6,20,Female,5,89,Yes,6,2,5,No,0,10,Medium,2,2,7,National University,18,Medium
2025/11/12 09:56:33 PM GMT+6,23,Female,8,95,No,4,6,5,Yes,5,7,High,8,9,7,Public University,13,Medium
2025/11/12 10:33:02 PM GMT+6,23,Female,5,61,No,5,7,9,Yes,5,9,Medium,8,8,6,National University,13,Medium
2025/11/12 11:09:30 PM GMT+6,24,Male,8,46,Yes,8,4,5,No,1,2,Medium,2,4,6,Public University,12,Medium
2025/11/12 11:45:59 PM GMT+6,19,Female,9,49,No,6,5,7,No,6,2,High,5,1,8,National University,19,Medium
2025/11/13 12:22:28 AM GMT+6,22,Male,3,46,No,4,4,6,No,3,6,Low,8,4,2,Public University,9,Low
2025/11/13 12:58:57 AM GMT+6,22,Male,5,82,No,2,7,4,No,0,5,High,8,3,3,Public University,10,Low
2025/11/13 01:35:26 AM GMT+6,20,Male,6,56,Yes,7,1,5,No,5,10,Low,4,2,9,Public University,25,High
2025/11/13 02:11:54 AM GMT+6,22,Male,6,87,Yes,9,9,4,No,5,3,Medium,1,4,5,Public University,23,High
2025/11/13 02:48:23 AM GMT+6,21,Male,1,78,No,5,6,7,No,5,4,Medium,1,3,4,Private University,14,Medium
2025/11/13 03:24:52 AM GMT+6,24,Female,0,77,Yes,2,9,6,Yes,7,11,Low,1,2,2,Private University,21,High
2025/11/13 04:01:21 AM GMT+6,20,Male,4,59,Yes,5,4,7,No,2,4,Low,5,3,6,Public University,11,Medium
2025/11/13 04:37:49 AM GMT+6,23,Female,5,45,No,3,2,7,No,2,6,Medium,5,5,3,National University,4,Low
2025/11/13 05:14:18 AM GMT+6,24,Male,2,75,Yes,3,5,9,Yes,6,1,High,4,3,1,Private University,2,Low
2025/11/13 05:50:47 AM GMT+6,22,Male,3,81,No,7,3,4,Yes,4,9,High,5,2,8,Public University,23,High
2025/11/13 06:27:16 AM GMT+6,22,Male,9,63,Yes,5,8,7,Yes,0,6,High,8,9,7,Private University,8,Low
2025/11/13 07:03:45 AM GMT+6,22,Female,8,68,No,4,3,8,No,1,5,High,2,8,9,Private University,6,Low
2025/11/13 07:40:13 AM GMT+6,23,Male,8,67,No,5,5,9,No,7,10,Low,8,4,7,Public University,21,High
2025/11/13 08:16:42 AM GMT+6,22,Female,4,82,No,3,2,6,No,4,8,Low,8,8,4,Public University,7,Low
2025/11/13 08:53:11 AM GMT+6,21,Female,3,49,No,1,8,9,Yes,6,11,Low,6,7,5,Private University,13,Medium
2025/11/13 09:29:40 AM GMT+6,24,Female,1,81,Yes,1,1,8,No,3,2,Medium,1,8,4,Public University,-5,Low
2025/11/13 10:06:08 AM GMT+6,21,Female,1,60,No,2,2,4,Yes,5,4,High,7,8,4,Public University,3,Low
2025/11/13 10:42:37 AM GMT+6,19,Male,0,64,Yes,9,2,8,No,2,5,Low,1,5,7,National University,12,Medium
2025/11/13 11:19:06 AM GMT+6,20,Male,7,76,Yes,4,6,5,Yes,1,2,Low,6,5,2,Public University,3,Low
2025/11/13 11:55:35 AM GMT+6,19,Female,6,46,No,3,8,5,Yes,5,3,High,9,3,4,Public University,13,Medium
2025/11/13 12:32:04 PM GMT+6,20,Female,7,97,No,8,2,9,Yes,0,10,Low,1,8,4,National University,5,Low
2025/11/13 01:08:32 PM GMT+6,24,Female,7,66,No,1,9,6,Yes,5,11,High,5,2,5,National University,21,High
2025/11/13 01:45:01 PM GMT+6,19,Female,0,60,Yes,8,3,8,Yes,4,8,High,8,9,2,National University,6,Low
2025/11/13 02:21:30 PM GMT+6,22,Female,1,89,Yes,6,8,9,Yes,0,8,Low,5,4,2,Public University,9,Low
2025/11/13 02:57:59 PM GMT+6,23,Male,7,84,No,7,7,4,Yes,5,1,Low,9,7,5,Private University,12,Medium
2025/11/13 03:34:27 PM GMT+6,20,Female,3,65,No,2,1,5,Yes,1,8,Low,5,8,4,National University,1,Low
2025/11/13 04:10:56 PM GMT+6,24,Female,9,67,Yes,1,7,9,Yes,5,1,Low,4,6,7,Private University,4,Low
2025/11/13 04:47:25 PM GMT+6,21,Female,6,82,No,3,9,4,Yes,2,11,Medium,1,4,7,Private University,22,High
2025/11/13 05:23:54 PM GMT+6,23,Female,4,73,Yes,1,6,5,No,6,1,Low,9,8,2,Public University,3,Low
2025/11/13 06:00:23 PM GMT+6,21,Male,6,47,Yes,1,5,5,Yes,4,9,Medium,8,5,9,National University,16,Medium
2025/11/13 06:36:51 PM GMT+6,20,Male,6,67,Yes,2,4,9,No,7,11,Medium,3,3,4,Private University,16,Medium
2025/11/13 07:13:20 PM GMT+6,19,Female,4,72,No,9,4,8,No,3,3,Medium,9,6,4,Public University,9,Low
2025/11/13 07:49:49 PM GMT+6,20,Male,0,99,Yes,2,2,7,No,6,4,Medium,2,6,4,Public University,5,Low
2025/11/13 08:26:18 PM GMT+6,19,Male,2,92,No,7,8,9,No,2,7,Medium,8,9,4,Private University,10,Low
2025/11/13 09:02:46 PM GMT+6,21,Female,2,54,No,2,9,7,No,2,10,Medium,8,1,8,National University,23,High
2025/11/13 09:39:15 PM GMT+6,23,Female,1,59,Yes,1,3,7,Yes,0,11,Low,8,6,5,Public University,5,Low
2025/11/13 10:15:44 PM GMT+6,24,Female,0,90,Yes,4,6,7,No,4,2,Low,1,7,2,Private University,4,Low
2025/11/13 10:52:13 PM GMT+6,19,Male,2,55,No,9,9,7,Yes,4,10,High,6,3,4,Public University,24,High
2025/11/13 11:28:42 PM GMT+6,20,Female,0,65,No,7,3,4,Yes,4,8,Medium,5,5,7,Public University,18,Medium
2025/11/14 12:05:10 AM GMT+6,24,Male,5,90,No,5,8,7,No,1,11,Medium,8,2,1,Public University,17,Medium
2025/11/14 12:41:39 AM GMT+6,19,Male,5,91,Yes,9,1,8,No,2,6,Low,4,4,9,National University,15,Medium
2025/11/14 01:18:08 AM GMT+6,20,Male,8,74,Yes,9,4,6,No,4,2,Low,7,6,5,Private University,12,Medium
2025/11/14 01:54:37 AM GMT+6,23,Female,0,67,No,9,4,8,Yes,4,5,Medium,8,5,1,Public University,8,Low
2025/11/14 02:31:05 AM GMT+6,21,Female,4,74,Yes,8,2,5,No,1,2,Medium,6,7,5,Public University,6,Low
2025/11/14 03:07:34 AM GMT+6,19,Female,1,97,No,4,9,9,No,2,9,High,3,9,6,Public University,12,Medium
2025/11/14 03:44:03 AM GMT+6,24,Female,5,44,No,3,2,8,No,6,8,High,6,6,3,Public University,8,Low
2025/11/14 04:20:32 AM GMT+6,24,Female,9,45,Yes,4,9,5,No,7,1,High,4,2,1,Public University,15,Medium
2025/11/14 04:57:01 AM GMT+6,19,Male,8,82,Yes,5,7,4,Yes,1,6,High,6,4,5,Private University,14,Medium
2025/11/14 05:33:29 AM GMT+6,22,Male,8,95,No,9,1,5,No,5,9,Low,8,7,2,Private University,14,Medium
2025/11/14 06:09:58 AM GMT+6,22,Male,5,88,No,9,4,5,No,2,1,Medium,5,2,9,National University,18,Medium
2025/11/14 06:46:27 AM GMT+6,22,Female,7,47,Yes,6,7,4,No,1,1,High,5,4,4,Private University,11,Medium
2025/11/14 07:22:56 AM GMT+6,19,Female,1,59,No,3,4,8,No,4,7,Medium,5,2,7,Private University,15,Medium
2025/11/14 07:59:25 AM GMT+6,23,Female,1,51,No,1,3,9,No,2,7,Medium,5,8,4,Public University,0,Low
2025/11/14 08:35:53 AM GMT+6,21,Male,8,82,No,8,1,4,Yes,2,7,Low,7,2,7,Public University,17,Medium
2025/11/14 09:12:22 AM GMT+6,23,Female,1,40,No,7,9,5,Yes,7,2,Medium,6,6,3,National University,15,Medium
2025/11/14 09:48:51 AM GMT+6,23,Female,9,71,No,5,8,9,Yes,4,7,Medium,5,7,6,Public University,12,Medium
2025/11/14 10:25:20 AM GMT+6,21,Female,7,65,Yes,8,8,9,Yes,1,4,Low,4,3,6,National University,13,Medium
2025/11/14 11:01:48 AM GMT+6,19,Female,7,48,Yes,8,7,7,No,1,1,Low,4,2,8,Public University,16,Medium
2025/11/14 11:38:17 AM GMT+6,24,Female,7,98,No,2,3,9,No,7,7,Medium,7,2,2,National University,10,Low
2025/11/14 12:14:46 PM GMT+6,21,Male,7,62,No,4,1,6,Yes,0,3,Medium,8,3,7,Public University,4,Low
2025/11/14 12:51:15 PM GMT+6,20,Female,6,41,No,3,5,6,No,5,9,Medium,1,6,7,National University,17,Medium
2025/11/14 01:27:44 PM GMT+6,22,Female,2,89,Yes,8,8,9,Yes,4,9,Medium,1,9,2,National University,11,Medium
2025/11/14 02:04:12 PM GMT+6,21,Female,0,84,Yes,8,7,7,Yes,4,11,Medium,7,5,1,Private University,17,Medium
2025/11/14 02:40:41 PM GMT+6,20,Male,3,48,Yes,9,7,9,Yes,3,9,Low,6,7,9,National University,19,Medium
2025/11/14 03:17:10 PM GMT+6,21,Male,5,62,No,6,3,6,Yes,0,10,Medium,2,7,3,Private University,7,Low
2025/11/14 03:53:39 PM GMT+6,20,Female,1,76,Yes,5,7,4,No,6,9,Low,6,5,7,National University,25,High
2025/11/14 04:30:07 PM GMT+6,21,Male,0,75,No,6,3,7,Yes,0,8,Low,5,2,4,National University,10,Low
2025/11/14 05:06:36 PM GMT+6,24,Female,1,48,No,7,2,8,Yes,6,5,Low,7,4,6,Public University,12,Medium
2025/11/14 05:43:05 PM GMT+6,24,Female,8,65,No,8,9,4,No,5,2,Medium,7,5,1,Private University,16,Medium
2025/11/14 06:19:34 PM GMT+6,23,Female,6,73,No,1,6,9,Yes,4,6,High,3,4,2,Private University,4,Low
2025/11/14 06:56:03 PM GMT+6,21,Female,5,52,No,6,2,9,No,4,8,Low,8,9,9,National University,11,Medium
2025/11/14 07:32:31 PM GMT+6,24,Female,1,67,No,5,9,7,No,2,9,Medium,1,7,9,Public University,20,Medium
2025/11/14 08:09:00 PM GMT+6,23,Male,9,60,Yes,7,7,5,No,3,11,Medium,5,2,5,Private University,26,High
2025/11/14 08:45:29 PM GMT+6,23,Female,8,61,No,2,8,8,Yes,4,3,Medium,8,6,8,Private University,9,Low
2025/11/14 09:21:58 PM GMT+6,24,Female,6,76,Yes,9,5,9,Yes,4,5,Medium,5,5,1,Private University,8,Low
2025/11/14 09:58:26 PM GMT+6,19,Male,4,64,Yes,6,2,5,No,4,11,High,1,2,2,Public University,18,Medium
2025/11/14 10:34:55 PM GMT+6,23,Male,1,82,No,9,9,6,Yes,6,11,Medium,5,9,7,Public University,25,High
2025/11/14 11:11:24 PM GMT+6,23,Female,4,40,Yes,8,7,7,No,4,11,Medium,5,5,4,Private University,22,High
2025/11/14 11:47:53 PM GMT+6,19,Female,6,81,No,6,4,9,Yes,3,11,Low,3,9,8,National University,12,Medium
2025/11/15 12:24:22 AM GMT+6,20,Female,0,56,Yes,5,5,4,Yes,4,1,Medium,2,2,8,Public University,15,Medium
2025/11/15 01:00:50 AM GMT+6,24,Female,8,66,Yes,5,1,5,No,6,4,Medium,2,9,1,Public University,3,Low
2025/11/15 01:37:19 AM GMT+6,19,Female,0,94,Yes,4,7,5,Yes,2,6,Medium,9,7,1,National University,6,Low
2025/11/15 02:13:48 AM GMT+6,21,Male,5,64,Yes,6,2,4,No,2,10,Low,7,8,4,National University,12,Medium
2025/11/15 02:50:17 AM GMT+6,19,Male,2,61,No,2,1,9,No,6,11,Low,6,2,9,National University,18,Medium
2025/11/15 03:26:45 AM GMT+6,21,Male,6,66,No,7,6,7,Yes,7,2,Medium,1,8,5,Public University,10,Low
2025/11/15 04:03:14 AM GMT+6,24,Male,1,90,Yes,5,3,8,Yes,3,6,Low,8,6,7,Public University,8,Low
2025/11/15 04:39:43 AM GMT+6,20,Male,0,64,No,1,2,7,No,7,5,Medium,4,7,6,Public University,7,Low
2025/11/15 05:16:12 AM GMT+6,19,Female,1,69,No,2,9,7,No,2,6,Medium,7,5,2,Public University,9,Low
2025/11/15 05:52:41 AM GMT+6,24,Female,1,97,No,9,1,6,No,1,10,Low,7,6,5,Private University,14,Medium
2025/11/15 06:29:09 AM GMT+6,20,Female,2,80,Yes,7,1,7,Yes,7,3,Low,1,9,7,Public University,7,Low
2025/11/15 07:05:38 AM GMT+6,19,Male,2,81,No,6,6,5,No,6,1,Medium,5,3,9,National University,20,Medium
2025/11/15 07:42:07 AM GMT+6,24,Female,9,77,No,8,6,8,Yes,7,9,High,7,6,4,Private University,18,Medium
2025/11/15 08:18:36 AM GMT+6,20,Male,8,63,Yes,2,9,8,Yes,5,3,Low,3,4,8,Public University,13,Medium
2025/11/15 08:55:04 AM GMT+6,21,Male,3,84,Yes,7,8,8,Yes,0,2,Medium,9,5,9,National University,11,Medium
2025/11/15 09:31:33 AM GMT+6,22,Female,6,63,No,1,4,7,No,3,9,Low,1,6,9,National University,13,Medium
2025/11/15 10:08:02 AM GMT+6,21,Female,3,74,Yes,1,2,5,No,5,6,Medium,1,5,5,National University,9,Low
2025/11/15 10:44:31 AM GMT+6,20,Male,8,93,No,5,1,8,No,7,3,Medium,1,2,4,National University,10,Low
2025/11/15 11:21:00 AM GMT+6,19,Male,5,90,No,9,4,4,Yes,1,7,Medium,9,6,9,National University,18,Medium
2025/11/15 11:57:28 AM GMT+6,20,Male,1,40,No,6,5,8,No,7,5,Low,6,3,1,Private University,13,Medium
2025/11/15 12:33:57 PM GMT+6,19,Male,2,57,No,9,6,5,No,1,3,High,3,6,3,Private University,11,Medium
2025/11/15 01:10:26 PM GMT+6,24,Male,8,72,Yes,7,5,8,Yes,0,6,Low,8,6,3,Public University,5,Low
2025/11/15 01:46:55 PM GMT+6,21,Male,1,67,Yes,1,5,4,No,3,8,High,3,7,7,Public University,13,Medium
2025/11/15 02:23:24 PM GMT+6,22,Male,6,96,Yes,4,2,8,Yes,6,2,Low,1,4,5,Private University,5,Low
2025/11/15 02:59:52 PM GMT+6,19,Female,9,81,Yes,4,7,7,No,0,9,High,4,2,5,Private University,16,Medium
2025/11/15 03:36:21 PM GMT+6,23,Female,2,91,No,1,6,4,Yes,0,6,Medium,3,9,3,National University,1,Low
2025/11/15 04:12:50 PM GMT+6,22,Female,7,69,No,2,1,9,Yes,5,2,High,9,8,5,National University,-4,Low
2025/11/15 04:49:19 PM GMT+6,24,Female,0,61,No,9,3,9,No,7,6,Medium,8,4,9,Public University,21,High
2025/11/15 05:25:47 PM GMT+6,21,Male,3,53,No,9,7,6,No,4,2,Low,9,7,7,National University,16,Medium
2025/11/15 06:02:16 PM GMT+6,20,Female,2,93,No,8,7,5,Yes,5,10,High,5,2,2,Public University,23,High
2025/11/15 06:38:45 PM GMT+6,22,Male,8,41,No,7,6,5,No,6,6,High,5,1,2,Public University,21,High
2025/11/15 07:15:14 PM GMT+6,19,Male,1,48,No,6,2,8,No,6,11,High,6,1,6,Private University,22,High
2025/11/15 07:51:43 PM GMT+6,19,Male,7,83,No,1,3,6,Yes,2,5,Low,3,3,2,Public University,2,Low
2025/11/15 08:28:11 PM GMT+6,23,Male,2,99,Yes,1,7,6,Yes,4,3,Low,5,9,7,National University,5,Low
2025/11/15 09:04:40 PM GMT+6,19,Male,8,72,No,1,9,8,No,5,11,Medium,2,6,5,Public University,17,Medium
2025/11/15 09:41:09 PM GMT+6,20,Female,8,90,No,2,6,8,No,1,9,Low,5,2,4,National University,12,Medium
2025/11/15 10:17:38 PM GMT+6,24,Female,7,80,Yes,3,8,6,No,4,8,High,3,8,6,Private University,15,Medium
2025/11/15 10:54:06 PM GMT+6,23,Male,5,45,No,6,7,9,Yes,5,8,Low,2,5,3,Public University,13,Medium
2025/11/15 11:30:35 PM GMT+6,19,Male,2,79,No,7,6,6,No,7,1,High,1,2,9,Public University,22,High
2025/11/16 12:07:04 AM GMT+6,20,Male,3,53,No,3,8,7,No,1,8,Medium,4,9,6,Public University,10,Low
2025/11/16 12:43:33 AM GMT+6,22,Male,9,41,No,7,6,8,No,1,8,Medium,1,5,8,Public University,17,Medium
2025/11/16 01:20:02 AM GMT+6,21,Female,4,77,Yes,5,6,7,Yes,1,8,Medium,6,4,5,Public University,12,Medium
2025/11/16 01:56:30 AM GMT+6,21,Female,9,57,No,1,6,9,No,6,11,Medium,3,3,9,Public University,21,High
2025/11/16 02:32:59 AM GMT+6,20,Female,6,46,Yes,8,2,8,No,0,5,Medium,3,1,2,National University,8,Low
2025/11/16 03:09:28 AM GMT+6,24,Male,9,89,Yes,4,3,4,Yes,3,3,Low,3,3,4,Private University,8,Low
2025/11/16 03:45:57 AM GMT+6,19,Female,6,72,Yes,9,4,6,No,6,5,Medium,2,9,7,Public University,16,Medium
2025/11/16 04:22:25 AM GMT+6,22,Male,7,74,No,8,1,4,No,4,5,Low,6,3,4,Public University,15,Medium
2025/11/16 04:58:54 AM GMT+6,20,Female,7,59,No,2,7,8,No,0,2,Low,4,9,2,Public University,-4,Low
2025/11/16 05:35:23 AM GMT+6,24,Female,9,56,Yes,2,5,6,No,3,2,Medium,3,2,1,Private University,5,Low
2025/11/16 06:11:52 AM GMT+6,19,Female,2,81,Yes,3,3,5,No,2,2,Medium,8,1,3,National University,7,Low
